		Total Processors: 3

----------------|  Proc # 0  |  Proc # 1  |  Proc # 2  | Regular Queue  | Priority Queue |----------------
  Time:   261   | Type D,  4 | Type D,  2 | Type B,  3 | Q Total:    21 | No queue items | 
  Time:   262   | Type D,  3 | Type D,  1 | Type B,  2 | Q Total:    21 | No queue items | 
  Time:   263   | Type D,  2 | Type C, 11 | Type B,  1 | Q Total:    21 | No queue items | 
  Time:   264   | Type D,  1 | Type C, 10 | Type A,  1 | Q Total:    20 | No queue items | 
  Time:   265   | Type B,  6 | Type C,  9 | Type A,  2 | Q Total:    18 | No queue items | 
  Time:   266   | Type B,  5 | Type C,  8 | Type A,  1 | Q Total:    19 | No queue items | 
  Time:   267   | Type D,  5 | Type C,  7 | Type B,  4 | Q Total:    20 | No queue items | 
  Time:   268   | Type D,  4 | Type C,  6 | Type B,  3 | Q Total:    20 | No queue items | 
  Time:   269   | Type D,  3 | Type C,  5 | Type B,  2 | Q Total:    21 | No queue items | 
  Time:   270   | Type D,  2 | Type C,  4 | Type B,  1 | Q Total:    21 | No queue items | 
  Time:   271   | Type D,  1 | Type C,  3 | Type B,  8 | Q Total:    21 | No queue items | 
  Time:   272   | Type C, 11 | Type C,  2 | Type B,  7 | Q Total:    20 | No queue items | 
  Time:   273   | Type C, 10 | Type C,  1 | Type B,  6 | Q Total:    21 | No queue items | 
  Time:   274   | Type D, 10 | Type C,  9 | Type B,  5 | Q Total:    21 | No queue items | 
  Time:   275   | Type D,  9 | Type C,  8 | Type B,  4 | Q Total:    21 | No queue items | 
  Time:   276   | Type D,  8 | Type C,  7 | Type B,  3 | Q Total:    21 | No queue items | 
  Time:   277   | Type D,  7 | Type C,  6 | Type B,  2 | Q Total:    22 | No queue items | 
  Time:   278   | Type D,  6 | Type C,  5 | Type B,  1 | Q Total:    22 | No queue items | 
  Time:   279   | Type D,  5 | Type C,  4 | Type A,  4 | Q Total:    23 | No queue items | 
  Time:   280   | Type D,  4 | Type C,  3 | Type A,  3 | Q Total:    23 | No queue items | 
  Time:   281   | Type D,  3 | Type C,  2 | Type A,  2 | Q Total:    23 | No queue items | 
